name,caption
275.png,Покемон типа травы и темного типа
276.png,Покемон нормального типа и летающего типа
277.png,Покемон нормального типа и летающего типа
278.png,Покемон типа водяного типа и летающего типа
279.png,Покемон типа водяного типа и летающего типа
280.png,Покемон психического типа и сказочного типа
281.png,Покемон психического типа и сказочного типа
282.png,Покемон психического типа и сказочного типа
283.png,Покемон типа ошибки и водный тип
284.png,Покемон типа ошибки и летающий
285.png,Покемон типа травы
286.png,Покемон типа травы и боевого типа
287.png,Покемон нормального типа
288.png,Покемон нормального типа
289.png,Покемон нормального типа
290.png,Тип ошибки и покемонов наземного типа
291.png,Покемон типа ошибки и летающий
292.png,Покемон типа ошибки и призрачного типа
293.png,Покемон нормального типа
294.png,Покемон нормального типа
295.png,Покемон нормального типа
296.png,Покемон боевого типа
297.png,Покемон боевого типа
298.png,Покемон нормального типа и сказочного типа
299.png,Покемон рок-типа
300.png,Покемон нормального типа
301.png,Покемон нормального типа
302.png,Темный тип и покемонов призрачного типа
303.png,Стальной и сказочный покемон
304.png,Стальной и рок-покемон
305.png,Стальной и рок-покемон
306.png,Стальной и рок-покемон
307.png,Покемон боевого типа и психического типа
308.png,Покемон боевого типа и психического типа
309.png,Покемон электрического типа
310.png,Покемон электрического типа
311.png,Покемон электрического типа
312.png,Покемон электрического типа
313.png,Покемон типа ошибки
314.png,Покемон типа ошибки
315.png,Покемон типа травы и ядовитого типа
316.png,Покемон ядовитого типа
317.png,Покемон ядовитого типа
318.png,Покемон воды и темного типа
319.png,Покемон воды и темного типа
320.png,Покемон воды
321.png,Покемон воды
322.png,Покемон пожарного типа и наземного типа
323.png,Покемон пожарного типа и наземного типа
324.png,Покемон огня
325.png,Покемон психического типа
326.png,Покемон психического типа
327.png,Покемон нормального типа
328.png,Покемон наземного типа
329.png,Покемон типа и дракона
330.png,Покемон типа и дракона
331.png,Покемон типа травы
332.png,Покемон типа травы и темного типа
333.png,Покемон нормального типа и летающего типа
334.png,Покемон типа дракона и летающий
335.png,Покемон нормального типа
336.png,Покемон ядовитого типа
337.png,Тип рок-типа и покемонов психического типа
338.png,Тип рок-типа и покемонов психического типа
339.png,Покемон типа воды и наземного типа
340.png,Покемон типа воды и наземного типа
341.png,Покемон воды
342.png,Покемон воды и темного типа
343.png,Покемон наземного типа и психического типа
344.png,Покемон наземного типа и психического типа
345.png,Покемон типа рок-типа и травяной
346.png,Покемон типа рок-типа и травяной
347.png,Покемон типа рок-типа и
348.png,Покемон типа рок-типа и
349.png,Покемон воды
350.png,Покемон воды
351.png,Покемон нормального типа
352.png,Покемон нормального типа
353.png,Покемон типа призрака
354.png,Покемон типа призрака
355.png,Покемон типа призрака
356.png,Покемон типа призрака
357.png,Покемон типа травы и летающего типа
358.png,Покемон психического типа
359.png,Темный покемон
360.png,Покемон психического типа
361.png,Ледяной покемон
362.png,Ледяной покемон
363.png,Покемон типа льда и водяного типа
364.png,Покемон типа льда и водяного типа
365.png,Покемон типа льда и водяного типа
366.png,Покемон воды
367.png,Покемон воды
368.png,Покемон воды
369.png,Покемон типа воды и рок-типа
370.png,Покемон воды
371.png,Покемон типа дракона
372.png,Покемон типа дракона
373.png,Покемон типа дракона и летающий
374.png,Стальной и психический покемон
375.png,Стальной и психический покемон
376.png,Стальной и психический покемон
377.png,Покемон рок-типа
378.png,Ледяной покемон
379.png,Стальной покемон
380.png,Покемон типа дракона и психического типа
381.png,Покемон типа дракона и психического типа
382.png,Покемон воды
383.png,Покемон наземного типа
384.png,Покемон типа дракона и летающий
385.png,Стальной и психический покемон
386.png,Покемон психического типа
387.png,Покемон типа травы
388.png,Покемон типа травы
389.png,Покемон типа травы и наземного типа
390.png,Покемон огня
391.png,Покемон пожарного типа и боевого типа
392.png,Покемон пожарного типа и боевого типа
393.png,Покемон воды
394.png,Покемон воды
395.png,Покемон типа и стального типа
396.png,Покемон нормального типа и летающего типа
397.png,Покемон нормального типа и летающего типа
398.png,Покемон нормального типа и летающего типа
399.png,Покемон нормального типа
400.png,Покемон нормального типа и водного типа
401.png,Покемон типа ошибки
402.png,Покемон типа ошибки
403.png,Покемон электрического типа
404.png,Покемон электрического типа
405.png,Покемон электрического типа
406.png,Покемон типа травы и ядовитого типа
407.png,Покемон типа травы и ядовитого типа
408.png,Покемон рок-типа
409.png,Покемон рок-типа
410.png,Покемон типа рок-типа и стального типа
411.png,Покемон типа рок-типа и стального типа
412.png,Покемон типа ошибки
413.png,Покемон типа ошибки и травяного типа
414.png,Покемон типа ошибки и летающий
415.png,Покемон типа ошибки и летающий
416.png,Покемон типа ошибки и летающий
417.png,Покемон электрического типа
418.png,Покемон воды
419.png,Покемон воды
420.png,Покемон типа травы
421.png,Покемон типа травы
422.png,Покемон воды
423.png,Покемон типа воды и наземного типа
424.png,Покемон нормального типа
425.png,Тип призрака и покемонов летающего типа
426.png,Тип призрака и покемонов летающего типа
427.png,Покемон нормального типа
428.png,Покемон нормального типа
429.png,Покемон типа призрака
430.png,Темный тип и покемонов летающего типа
431.png,Покемон нормального типа
432.png,Покемон нормального типа
433.png,Покемон психического типа
434.png,Ядовитый и темный покемон
435.png,Ядовитый и темный покемон
436.png,Стальной и психический покемон
437.png,Стальной и психический покемон
438.png,Покемон рок-типа
439.png,Покемон психического типа и сказочного типа
440.png,Покемон нормального типа
441.png,Покемон нормального типа и летающего типа
442.png,Тип призрака и покемонов темного типа
443.png,Покемон типа дракона и наземного типа
444.png,Покемон типа дракона и наземного типа
445.png,Покемон типа дракона и наземного типа
446.png,Покемон нормального типа
447.png,Покемон боевого типа
448.png,Покемон боевого типа и стального типа
449.png,Покемон наземного типа
450.png,Покемон наземного типа
451.png,Покемон типа ядовитого типа и
452.png,Ядовитый и темный покемон
453.png,Тип ядовитого типа и покемонов боевого типа
454.png,Тип ядовитого типа и покемонов боевого типа
455.png,Покемон типа травы
456.png,Покемон воды
457.png,Покемон воды
458.png,Покемон типа водяного типа и летающего типа
459.png,Покемон типа травы и ледяного типа
460.png,Покемон типа травы и ледяного типа
461.png,Темный и ледяной покемон
462.png,Электрический и стальной покемон
463.png,Покемон нормального типа
464.png,Покемон наземного типа и рок-типа
465.png,Покемон типа травы
466.png,Покемон электрического типа
467.png,Покемон огня
468.png,Сказочный и покемон с летающим типом
469.png,Покемон типа ошибки и летающий
470.png,Покемон типа травы
471.png,Ледяной покемон
472.png,Покемон наземного типа и летающего типа
473.png,Покемон типа ледяного типа и наземного типа
474.png,Покемон нормального типа
475.png,Психический тип и покемон с боевым типом
476.png,Покемон типа рок-типа и стального типа
477.png,Покемон типа призрака
478.png,Покемон типа ледяного типа и призрачного типа
479.png,Электрический тип и покемон призрачного типа
480.png,Покемон психического типа
481.png,Покемон психического типа
482.png,Покемон психического типа
483.png,Покемон типа стального и дракона
484.png,Покемон типа воды и дракона
485.png,Покемон типа огня и стального типа
486.png,Покемон нормального типа
487.png,Тип призрака и покемонов типа дракона
488.png,Покемон психического типа
489.png,Покемон воды
490.png,Покемон воды
491.png,Темный покемон
492.png,Покемон типа травы
493.png,Покемон нормального типа
494.png,Покемон психического типа и огненного типа
495.png,Покемон типа травы
496.png,Покемон типа травы
497.png,Покемон типа травы
498.png,Покемон огня
499.png,Покемон пожарного типа и боевого типа
500.png,Покемон пожарного типа и боевого типа
501.png,Покемон воды
502.png,Покемон воды
503.png,Покемон воды
504.png,Покемон нормального типа
505.png,Покемон нормального типа
506.png,Покемон нормального типа
507.png,Покемон нормального типа
508.png,Покемон нормального типа
509.png,Темный покемон
510.png,Темный покемон
511.png,Покемон типа травы
512.png,Покемон типа травы
513.png,Покемон огня
514.png,Покемон огня
515.png,Покемон воды
516.png,Покемон воды
517.png,Покемон психического типа
518.png,Покемон психического типа
519.png,Покемон нормального типа и летающего типа
520.png,Покемон нормального типа и летающего типа
521.png,Покемон нормального типа и летающего типа
522.png,Покемон электрического типа
523.png,Покемон электрического типа
524.png,Покемон рок-типа
525.png,Покемон рок-типа
526.png,Покемон рок-типа
527.png,Психический тип и покемонов летающего типа
528.png,Психический тип и покемонов летающего типа
529.png,Покемон наземного типа
530.png,Покемон наземного типа и стального типа
531.png,Покемон нормального типа
532.png,Покемон боевого типа
533.png,Покемон боевого типа
534.png,Покемон боевого типа
535.png,Покемон воды
536.png,Покемон типа воды и наземного типа
537.png,Покемон типа воды и наземного типа
538.png,Покемон боевого типа
539.png,Покемон боевого типа
540.png,Покемон типа ошибки и травяного типа
541.png,Покемон типа ошибки и травяного типа
542.png,Покемон типа ошибки и травяного типа
543.png,Покемон типа ошибок и ядовитого типа
544.png,Покемон типа ошибок и ядовитого типа
545.png,Покемон типа ошибок и ядовитого типа
546.png,Покемон типа травы и сказочного типа
547.png,Покемон типа травы и сказочного типа
548.png,Покемон типа травы
549.png,Покемон типа травы
550.png,Покемон воды
551.png,Покемон наземного типа и темного типа
552.png,Покемон наземного типа и темного типа
553.png,Покемон наземного типа и темного типа
554.png,Покемон огня
555.png,Покемон огня
556.png,Покемон типа травы
557.png,Покемон типа ошибки и рок-типа
558.png,Покемон типа ошибки и рок-типа
559.png,Темный тип и покемон с боевым типом
560.png,Темный тип и покемон с боевым типом
561.png,Психический тип и покемонов летающего типа
562.png,Покемон типа призрака
563.png,Покемон типа призрака
564.png,Покемон типа воды и рок-типа
565.png,Покемон типа воды и рок-типа
566.png,Тип рок-типа и покемонов летающего типа
567.png,Тип рок-типа и покемонов летающего типа
568.png,Покемон ядовитого типа
569.png,Покемон ядовитого типа
570.png,Темный покемон
571.png,Темный покемон
572.png,Покемон нормального типа
573.png,Покемон нормального типа
574.png,Покемон психического типа
575.png,Покемон психического типа
576.png,Покемон психического типа
577.png,Покемон психического типа
578.png,Покемон психического типа
579.png,Покемон психического типа
580.png,Покемон типа водяного типа и летающего типа
581.png,Покемон типа водяного типа и летающего типа
582.png,Ледяной покемон
583.png,Ледяной покемон
584.png,Ледяной покемон
585.png,Покемон нормального типа и травяного типа
586.png,Покемон нормального типа и травяного типа
587.png,Электрический тип и покемонов летающего типа
588.png,Покемон типа ошибки
589.png,Покемон типа ошибки и стального типа
590.png,Покемон типа травы и ядовитого типа
591.png,Покемон типа травы и ядовитого типа
592.png,Покемон типа воды и призрачного типа
593.png,Покемон типа воды и призрачного типа
594.png,Покемон воды
595.png,Покемон типа ошибки и электрический тип
596.png,Покемон типа ошибки и электрический тип
597.png,Покемон типа травы и стального типа
598.png,Покемон типа травы и стального типа
599.png,Стальной покемон
600.png,Стальной покемон
601.png,Стальной покемон
602.png,Покемон электрического типа
603.png,Покемон электрического типа
604.png,Покемон электрического типа
605.png,Покемон психического типа
606.png,Покемон психического типа
607.png,Покемон типа призрака и огненного типа
608.png,Покемон типа призрака и огненного типа
609.png,Покемон типа призрака и огненного типа
610.png,Покемон типа дракона
611.png,Покемон типа дракона
612.png,Покемон типа дракона
613.png,Ледяной покемон
614.png,Ледяной покемон
615.png,Ледяной покемон
616.png,Покемон типа ошибки
617.png,Покемон типа ошибки
618.png,Покемон наземного типа и электрического типа
619.png,Покемон боевого типа
620.png,Покемон боевого типа
621.png,Покемон типа дракона
622.png,Покемон наземного типа и призрачного типа
623.png,Покемон наземного типа и призрачного типа
624.png,Темный и стальной покемон
625.png,Темный и стальной покемон
626.png,Покемон нормального типа
627.png,Покемон нормального типа и летающего типа
628.png,Покемон нормального типа и летающего типа
629.png,Темный тип и покемонов летающего типа
630.png,Темный тип и покемонов летающего типа
631.png,Покемон огня
632.png,Покемон типа ошибки и стального типа
633.png,Темный и драконский покемон
634.png,Темный и драконский покемон
635.png,Темный и драконский покемон
636.png,Покемон типа ошибки и огненного типа
637.png,Покемон типа ошибки и огненного типа
638.png,Стальной и боевой покемон
639.png,Тип рок-типа и покемонов боевого типа
640.png,Покемон типа травы и боевого типа
641.png,Покемон летающего типа
642.png,Электрический тип и покемонов летающего типа
643.png,Покемон типа дракона и огненного типа
644.png,Покемон типа дракона и электрический тип
645.png,Покемон наземного типа и летающего типа
646.png,Покемон типа дракона и ледяного типа
647.png,Покемон с водным типом и боевым типом
648.png,Покемон нормального типа и психического типа
649.png,Покемон типа ошибки и стального типа
650.png,Покемон типа травы
651.png,Покемон типа травы
652.png,Покемон типа травы и боевого типа
653.png,Покемон огня
654.png,Покемон огня
655.png,Покемон огня и психического типа
656.png,Покемон воды
657.png,Покемон воды
658.png,Покемон воды и темного типа
659.png,Покемон нормального типа
660.png,Покемон нормального типа и наземного типа
661.png,Покемон нормального типа и летающего типа
662.png,Покемон пожарного типа и летающий
663.png,Покемон пожарного типа и летающий
664.png,Покемон типа ошибки
665.png,Покемон типа ошибки
666.png,Покемон типа ошибки и летающий
667.png,Покемон огня и обычный тип
668.png,Покемон огня и обычный тип
669.png,Сказочный покемон
670.png,Сказочный покемон
671.png,Сказочный покемон
672.png,Покемон типа травы
673.png,Покемон типа травы
674.png,Покемон боевого типа
675.png,Боевой и темный покемон
676.png,Покемон нормального типа
677.png,Покемон психического типа
678.png,Покемон психического типа
679.png,Стальной и призрачный покемон
680.png,Стальной и призрачный покемон
681.png,Стальной и призрачный покемон
682.png,Сказочный покемон
683.png,Сказочный покемон
684.png,Сказочный покемон
685.png,Сказочный покемон
686.png,Темный и психический покемон
687.png,Темный и психический покемон
688.png,Покемон типа рок-типа и водяного типа
689.png,Покемон типа рок-типа и водяного типа
690.png,Ядовитый и покемон
691.png,Покемон типа ядовитого типа и дракона
692.png,Покемон воды
693.png,Покемон воды
694.png,Покемон электрического типа и нормального типа
695.png,Покемон электрического типа и нормального типа
696.png,Тип рок-типа и покемонов типа дракона
697.png,Тип рок-типа и покемонов типа дракона
698.png,Тип рок-типа и покемонов типа льда
699.png,Тип рок-типа и покемонов типа льда
700.png,Сказочный покемон
701.png,Покемон боевого типа и летающий
702.png,Электрический и сказочный покемон
703.png,Тип рок-типа и покемонов
704.png,Покемон типа дракона
705.png,Покемон типа дракона
706.png,Покемон типа дракона
707.png,Стальной и сказочный покемон
708.png,Тип призрака и покемонов типа травы
709.png,Тип призрака и покемонов типа травы
710.png,Тип призрака и покемонов типа травы
711.png,Тип призрака и покемонов типа травы
712.png,Ледяной покемон
713.png,Ледяной покемон
714.png,Покемон с летающим типом и драконом
715.png,Покемон с летающим типом и драконом
716.png,Сказочный покемон
717.png,Темный тип и покемонов летающего типа
718.png,Покемон типа дракона и наземного типа
719.png,Тип рок-типа и покемонов
720.png,Покемон психического типа и призрачного типа
721.png,Покемон типа огня и водный тип
722.png,Покемон типа травы и летающего типа
723.png,Покемон типа травы и летающего типа
724.png,Покемон типа травы и призрака
725.png,Покемон огня
726.png,Покемон огня
727.png,Покемон огня и темного типа
728.png,Покемон воды
729.png,Покемон воды
730.png,Покемон воды и сказочного типа
731.png,Покемон нормального типа и летающего типа
732.png,Покемон нормального типа и летающего типа
733.png,Покемон нормального типа и летающего типа
734.png,Покемон нормального типа
735.png,Покемон нормального типа
736.png,Покемон типа ошибки
737.png,Покемон типа ошибки и электрический тип
738.png,Покемон типа ошибки и электрический тип
739.png,Покемон боевого типа
740.png,Покемон боевого типа и ледяного типа
741.png,Покемон пожарного типа и летающий
742.png,Тип ошибки и покемон сказочного типа
743.png,Тип ошибки и покемон сказочного типа
744.png,Покемон рок-типа
745.png,Покемон рок-типа
746.png,Покемон воды
747.png,Ядовитый и покемон
748.png,Ядовитый и покемон
749.png,Покемон наземного типа
750.png,Покемон наземного типа
751.png,Покемон типа воды и типа ошибки
752.png,Покемон типа воды и типа ошибки
753.png,Покемон типа травы
754.png,Покемон типа травы
755.png,Покемон типа травы и сказочного типа
756.png,Покемон типа травы и сказочного типа
757.png,Покемон типа ядовитого типа и
758.png,Покемон типа ядовитого типа и
759.png,Покемон нормального типа и боевого типа
760.png,Покемон нормального типа и боевого типа
761.png,Покемон типа травы
762.png,Покемон типа травы
763.png,Покемон типа травы
764.png,Сказочный покемон
765.png,Покемон нормального типа и психического типа
766.png,Покемон боевого типа
767.png,Покемон типа ошибки и водный тип
768.png,Покемон типа ошибки и водный тип
769.png,Тип призрака и покемон наземного типа
770.png,Тип призрака и покемон наземного типа
771.png,Покемон воды
772.png,Покемон нормального типа
773.png,Покемон нормального типа
774.png,Тип рок-типа и покемонов летающего типа
775.png,Покемон нормального типа
776.png,Покемон типа огня и дракона
777.png,Электрический и стальной покемон
778.png,Тип призрака и покемон сказочного типа
779.png,Покемон типа воды и психического типа
780.png,Покемон типа нормального типа и дракона
781.png,Тип призрака и покемонов типа травы
782.png,Покемон типа дракона
783.png,Тип дракона и покемонов с боевым типом
784.png,Тип дракона и покемонов с боевым типом
785.png,Электрический и сказочный покемон
786.png,Покемон психического типа и сказочного типа
787.png,Покемон типа травы и сказочного типа
788.png,Покемон воды и сказочного типа
789.png,Покемон психического типа
790.png,Покемон психического типа
791.png,Покемон психического типа и стального типа
792.png,Покемон психического типа и призрачного типа
793.png,Тип рок-типа и покемонов
794.png,Тип ошибки и покемонов с боевым типом
795.png,Тип ошибки и покемонов с боевым типом
796.png,Покемон электрического типа
797.png,Стальной и летающий покемон
798.png,Покемон типа травы и стального типа
799.png,Темный и драконский покемон
800.png,Покемон психического типа
801.png,Стальной и сказочный покемон
802.png,Покемон боевого типа и призрака
803.png,Покемон ядовитого типа
804.png,Покемон типа ядовитого типа и дракона
805.png,Покемон типа рок-типа и стального типа
806.png,Покемон типа огня и призрака
807.png,Покемон электрического типа
808.png,Стальной покемон
809.png,Стальной покемон
810.png,Покемон типа травы
811.png,Покемон типа травы
812.png,Покемон типа травы
813.png,Покемон огня
814.png,Покемон огня
815.png,Покемон огня
816.png,Покемон воды
817.png,Покемон воды
818.png,Покемон воды
819.png,Покемон нормального типа
820.png,Покемон нормального типа
821.png,Покемон летающего типа
822.png,Покемон летающего типа
823.png,Покемон летательного типа и стального типа
824.png,Покемон типа ошибки
825.png,Покемон типа ошибки и психического типа
826.png,Покемон типа ошибки и психического типа
827.png,Темный покемон
828.png,Темный покемон
829.png,Покемон типа травы
830.png,Покемон типа травы
831.png,Покемон нормального типа
832.png,Покемон нормального типа
833.png,Покемон воды
834.png,Покемон типа воды и рок-типа
835.png,Покемон электрического типа
836.png,Покемон электрического типа
837.png,Покемон рок-типа
838.png,Покемон типа рок-типа и огненного типа
839.png,Покемон типа рок-типа и огненного типа
840.png,Покемон типа травы и дракона
841.png,Покемон типа травы и дракона
842.png,Покемон типа травы и дракона
843.png,Покемон наземного типа
844.png,Покемон наземного типа
845.png,Покемон летающего типа и водяного типа
846.png,Покемон воды
847.png,Покемон воды
848.png,Электрический и ядовитый покемон
849.png,Электрический и ядовитый покемон
850.png,Покемон типа огня и типа ошибки
851.png,Покемон типа огня и типа ошибки
852.png,Покемон боевого типа
853.png,Покемон боевого типа
854.png,Покемон типа призрака
855.png,Покемон типа призрака
856.png,Покемон психического типа
857.png,Покемон психического типа
858.png,Покемон психического типа и сказочного типа
859.png,Темный и сказочный покемон
860.png,Темный и сказочный покемон
861.png,Темный и сказочный покемон
862.png,Покемон темного типа и нормального типа
863.png,Стальной покемон
